LCNumber,OurReference,LCYearSeq,CustomerName,CustomerCode,CountryName,AdvisingBankName,IssuingBankName,PaymentTermText,SightOrDeferred,CurrencyCode,LCAmount,UtilizedAmount,OutstandingAmount,IssuanceDate,ExpiryDate,LatestShipmentDate,InvoiceCount,LCStatus,IsClosed,SourceFile,SourceRow
26/BMLCU/41157,2026/ILC/3407,11,Al Hashar Pharmacy Llc,2000006,Oman,BANK MUSCAT SA,BANK MUSCAT OMAN,180 Days From TCN,Deferred,USD,335479.61,0,335479.61,2026-03-31,2026-05-06,2026-04-15,1,Active,FALSE,LC Master Export 2026.xlsx,13
26/BMLCU/41321,2026/ILC/3417,12,Al Hashar Pharmacy Llc,2000006,Oman,BANK MUSCAT SA,BANK MUSCAT OMAN,180 Days From TCN,Deferred,USD,341988.22,0,341988.22,2026-04-22,2026-06-05,2026-05-15,1,Active,FALSE,LC Master Export 2026.xlsx,14
26/BMLCU/41031,2026/ILC/3405,13,Al Hashar Pharmacy Llc,2000006,Oman,BANK MUSCAT SA,BANK MUSCAT OMAN,180 Days From TCN,Deferred,USD,775682.65,0,775682.65,2026-03-26,2026-05-06,2026-04-15,2,Active,FALSE,LC Master Export 2026.xlsx,15
OLCD001260151,TF2612500004JEDX,14,Al Hikma Fzco Iraq,2000018,Iraq,INMA,INT. DEV. BANK,180 Days From TCN,Deferred,USD,770487.61,799388.43,-28900.82,2026-05-04,2026-07-26,2026-07-11,6,Partially Drawn,FALSE,LC Master Export 2026.xlsx,16
OLCT260054,2026/ILC/3432,15,Al Hashar Pharmacy Llc,2000006,Oman,BANK MUSCAT SA,BANK DHOFAR,180 Days From TCN,Deferred,USD,475824.47,435078.21,40746.26,2026-05-20,2026-07-06,2026-06-15,8,Partially Drawn,FALSE,LC Master Export 2026.xlsx,17
AWAELCU260068,ENSALA26000150,16,Unicare Medical,2002279,UAE,ENBD,,90 Days From Dn,Deferred,USD,90596.0,0,90596.0,2026-05-20,2026-07-20,2026-06-29,0,Active,FALSE,LC Master Export 2026.xlsx,18
AB1000ILC0132126,ELCCB26001530DPR001,17,Tracon Trading Plc,2001210,Ethiopia,BSF,AWASH BANK,At Sight,Sight,USD,563636.54,440600.57,123035.97,2026-05-20,2026-08-17,2026-07-20,2,Partially Drawn,FALSE,LC Master Export 2026.xlsx,19
ILC310/159/26,ELC26BH00858,18,El Hakeem For Importing Pharmaceutical,2001514,Libya,ABC,ALWAHA BANK,60 Calendar Days After Presentation Of Complied Documents,Deferred,USD,148875.1,148874.85,0.25,2026-05-24,2026-08-23,2026-08-23,1,Partially Drawn,FALSE,LC Master Export 2026.xlsx,20
777LC09261550003,ELC26BH00911,19,Samt For Medical Supplies,2000012,Libya,ABC,JUMHOURIA BANK,60 Calendar Days After Presentation Of Complied Documents,Deferred,USD,753141.0,753140.87,0.13,2026-06-04,2026-09-02,2026-08-13,2,Partially Drawn,FALSE,LC Master Export 2026.xlsx,21
OLCT260073,JXP7000344,20,Al Hashar Pharmacy Llc,2000006,Oman,RIYAD BANK,BANK DHOFAR,180 Days From TCN,Deferred,USD,648430.58,0,648430.58,2026-06-22,2026-08-05,2026-07-15,0,Active,FALSE,LC Master Export 2026.xlsx,22
